web-scraper-order,web-scraper-start-url,course-title,course-title-href,course-author,course-total,course-price,course-sell
"1644505776-603","https://ke.qq.com/course/list?price_min=1&page=9","软件测试之python全栈自动化测试工程师第40期【柠檬班VIP】","https://ke.qq.com/course/290702","柠檬班软件测试","随到随学","¥1762.22","8217人购买"
"1644505789-725","https://ke.qq.com/course/list?price_min=1&page=4","平面设计-全套班第六期","https://ke.qq.com/course/package/33465","艺蜂教育","9门课","¥6662.22","571人购买"
"1644505717-234","https://ke.qq.com/course/list?price_min=1&page=24","砖混别墅-土建工程造价案例实操","https://ke.qq.com/course/175175","启程教育","随到随学","¥677.22","9280人购买"
"1644505789-728","https://ke.qq.com/course/list?price_min=1&page=4","【2021年CPA】会计精学班","https://ke.qq.com/course/3027564","菜子教育","进度：32/32节","¥5376.22","067人购买"
"1644505786-682","https://ke.qq.com/course/list?price_min=1&page=5","10周成为数据分析师","https://ke.qq.com/course/3060869?quicklink=1","贪心学院","共1节","¥4677.22","5362人购买"
"1644505697-59","https://ke.qq.com/course/list?price_min=1&page=31","3天资产检索及管理-逻辑漏洞-SQL注入漏洞挖掘","https://ke.qq.com/course/3579550?quicklink=1","北京学神IT教育","开设2个班级","¥2.23","068人购买"
"1644505724-316","https://ke.qq.com/course/list?price_min=1&page=21","【松勤】软件测试0基础到项目实战系统学习全栈班1","https://ke.qq.com/course/4031276","松勤软件测试","随到随学","¥4762.22","512人购买"
"1644505717-229","https://ke.qq.com/course/list?price_min=1&page=24","室内设计vip全科班","https://ke.qq.com/course/package/43369?quicklink=1","智山教育","4门课","¥8762.22","8人购买"
"1644505784-675","https://ke.qq.com/course/list?price_min=1&page=6","云峰消防2021技术实务精讲（录播）","https://ke.qq.com/course/3485459","云峰网校","共29节","¥176.22","847人购买"
"1644505699-85","https://ke.qq.com/course/list?price_min=1&page=30","2022年初级会计职称全程直播飞跃班-初级会计实务精讲","https://ke.qq.com/course/4227910?quicklink=1","菜子教育","进度：2/23节","¥762.22","871人购买"
"1644505781-655","https://ke.qq.com/course/list?price_min=1&page=7","Solidworks2018零基础到全面精通","https://ke.qq.com/course/183713","云艺帆教育","共12节","¥576.22","388人购买"
